Выезд к абоненту,
9547,2025-12-01 00:00:00
9554,2025-10-01 00:00:00
9568,2025-12-01 00:00:00
9581,2025-08-01 00:00:00
9597,2025-12-01 00:00:00
9597,2026-02-01 00:00:00
9643,2025-06-01 00:00:00
9661,2025-08-01 00:00:00
9765,2025-10-01 00:00:00
9806,2025-08-01 00:00:00
9838,2025-08-01 00:00:00
9838,2026-01-01 00:00:00
9967,2026-01-01 00:00:00
9974,2026-01-01 00:00:00
10062,2025-11-01 00:00:00
10062,2025-12-01 00:00:00
10062,2026-01-01 00:00:00
10063,2026-01-01 00:00:00
10098,2025-12-01 00:00:00
10200,2025-10-01 00:00:00
10207,2025-10-01 00:00:00
10266,2025-11-01 00:00:00
10266,2026-01-01 00:00:00
10270,2025-11-01 00:00:00
10273,2025-05-01 00:00:00
10273,2025-11-01 00:00:00
10273,2026-01-01 00:00:00
10442,2026-01-01 00:00:00
10485,2025-12-01 00:00:00
10520,2025-08-01 00:00:00
10567,2025-06-01 00:00:00
10615,2026-02-01 00:00:00
10649,2026-02-01 00:00:00
10651,2025-12-01 00:00:00
10651,2025-12-19 00:00:00
10693,2025-06-01 00:00:00
10693,2026-02-01 00:00:00
10773,2025-07-01 00:00:00
10791,2026-02-01 00:00:00
10873,2025-04-01 00:00:00
10873,2025-06-01 00:00:00
10873,2025-07-01 00:00:00
10874,2025-07-01 00:00:00
10874,2025-10-01 00:00:00
10874,2025-10-10 00:00:00
10974,2026-02-01 00:00:00
11016,2025-08-01 00:00:00
11016,2025-09-01 00:00:00
11016,2025-12-01 00:00:00
11031,2025-08-01 00:00:00
11087,2025-10-01 00:00:00
11162,2025-10-01 00:00:00
11162,2025-10-14 00:00:00
11196,2025-05-01 00:00:00
11201,2025-07-01 00:00:00
11201,2025-10-01 00:00:00
11201,2025-10-14 00:00:00
11255,2025-11-01 00:00:00
11255,2025-12-01 00:00:00
11255,2026-01-01 00:00:00
11285,2025-10-01 00:00:00
11292,2025-10-01 00:00:00
11296,2025-11-01 00:00:00
11411,2025-04-01 00:00:00
11459,2025-08-01 00:00:00
11556,2026-02-01 00:00:00
11569,2026-01-01 00:00:00
11579,2026-01-01 00:00:00
11580,2026-01-01 00:00:00
11679,2025-09-01 00:00:00
11707,2025-09-01 00:00:00
11707,2025-10-01 00:00:00
11731,2025-09-01 00:00:00
11763,2025-09-01 00:00:00
11798,2025-04-01 00:00:00
11802,2025-04-01 00:00:00
11806,2025-12-01 00:00:00
11868,2025-09-01 00:00:00
11898,2025-09-01 00:00:00
11967,2025-12-01 00:00:00
11970,2025-08-01 00:00:00
12005,2025-11-01 00:00:00
12005,2025-12-01 00:00:00
12008,2025-08-01 00:00:00
12040,2025-12-01 00:00:00
12076,2025-08-01 00:00:00
12094,2025-09-01 00:00:00
12151,2026-01-01 00:00:00
12155,2025-04-01 00:00:00
12165,2025-09-01 00:00:00
12245,2025-09-01 00:00:00
12249,2025-04-01 00:00:00
12341,2025-12-01 00:00:00
12427,2025-12-01 00:00:00
12500,2025-09-01 00:00:00
12664,2025-09-01 00:00:00
12770,2025-09-01 00:00:00
12998,2026-01-01 00:00:00
13011,2026-01-01 00:00:00
13019,2026-02-01 00:00:00
13097,2025-05-01 00:00:00
13231,2025-05-01 00:00:00
13328,2025-05-01 00:00:00
13337,2025-05-01 00:00:00
13360,2025-05-01 00:00:00
13400,2025-05-01 00:00:00
13417,2025-10-01 00:00:00
13445,2025-05-01 00:00:00
13457,2025-05-01 00:00:00
13457,2025-11-01 00:00:00
13638,2026-02-01 00:00:00
13880,2026-01-01 00:00:00
13963,2025-09-01 00:00:00
13982,2026-01-01 00:00:00
13983,2025-11-01 00:00:00
13988,2025-07-01 00:00:00
13988,2025-07-10 00:00:00
13988,2025-11-01 00:00:00
13996,2025-11-01 00:00:00
13996,2025-12-01 00:00:00
13996,2026-01-01 00:00:00
14003,2026-01-01 00:00:00
14033,2025-08-01 00:00:00
14033,2026-01-19 00:00:00
14111,2026-01-01 00:00:00
14157,2026-01-01 00:00:00
14179,2026-01-01 00:00:00
14208,2025-11-01 00:00:00
14208,2026-01-01 00:00:00
14208,2026-01-01 00:00:00
14219,2026-01-01 00:00:00
14316,2025-09-01 00:00:00
14411,2025-08-01 00:00:00
14451,2025-09-01 00:00:00
14511,2026-02-01 00:00:00
14690,2025-09-01 00:00:00
14704,2025-10-01 00:00:00
15005,2026-02-01 00:00:00
15169,2025-11-01 00:00:00
15170,2025-11-01 00:00:00
15347,2025-08-01 00:00:00
15347,2025-08-01 00:00:00
15508,2025-10-01 00:00:00
15538,2025-08-01 00:00:00
15562,2025-09-01 00:00:00
15670,2025-08-01 00:00:00
15670,2025-11-01 00:00:00
16071,2025-12-01 00:00:00
16072,2025-08-01 00:00:00
16144,2025-05-01 00:00:00
16179,2026-02-01 00:00:00
16191,2025-12-01 00:00:00
16191,2026-01-01 00:00:00
16240,2025-05-01 00:00:00
16254,2025-05-01 00:00:00
16256,2025-04-01 00:00:00
16324,2025-08-01 00:00:00
16337,2025-08-01 00:00:00
16376,2025-08-01 00:00:00
16399,2025-08-01 00:00:00
16411,2025-12-01 00:00:00
16428,2025-06-01 00:00:00
16428,2025-12-01 00:00:00
16428,2026-01-01 00:00:00
16558,2025-12-01 00:00:00
16599,2025-08-01 00:00:00
16750,2025-08-01 00:00:00
16785,2025-08-01 00:00:00
16813,2025-04-01 00:00:00
16885,2025-12-01 00:00:00
16920,2025-12-01 00:00:00
16996,2025-12-01 00:00:00
17075,2026-01-01 00:00:00
17085,2026-02-01 00:00:00
17116,2025-11-01 00:00:00
17214,2026-01-01 00:00:00
17233,2025-12-01 00:00:00
17244,2025-04-01 00:00:00
17254,2025-12-01 00:00:00
17261,2025-04-01 00:00:00
17265,2026-01-01 00:00:00
17272,2026-01-01 00:00:00
17276,2025-04-01 00:00:00
17311,2026-01-01 00:00:00
17373,2025-10-01 00:00:00
17373,2025-10-14 00:00:00
17382,2025-11-01 00:00:00
17404,2025-11-01 00:00:00
17464,2025-11-01 00:00:00
17464,2026-01-01 00:00:00
17478,2025-11-01 00:00:00
17478,2025-11-01 00:00:00
17526,2025-11-01 00:00:00
17526,2025-11-01 00:00:00
17538,2025-10-01 00:00:00
17538,2025-10-14 00:00:00
17544,2025-11-01 00:00:00
17544,2026-01-01 00:00:00
17552,2025-10-01 00:00:00
17552,2025-10-14 00:00:00
17563,2025-10-01 00:00:00
17624,2026-01-01 00:00:00
17643,2026-01-01 00:00:00
17649,2025-11-01 00:00:00
17678,2025-10-01 00:00:00
17696,2025-10-01 00:00:00
17696,2025-10-14 00:00:00
17717,2025-10-01 00:00:00
17744,2026-01-01 00:00:00
17760,2025-11-01 00:00:00
17767,2025-06-01 00:00:00
17767,2025-06-17 00:00:00
17783,2025-10-01 00:00:00
17806,2025-11-01 00:00:00
17818,2025-11-01 00:00:00
17820,2025-06-01 00:00:00
17820,2025-06-17 00:00:00
17820,2025-10-01 00:00:00
17820,2025-10-14 00:00:00
17828,2025-10-01 00:00:00
17828,2025-10-14 00:00:00
17832,2025-11-01 00:00:00
17847,2025-10-01 00:00:00
17855,2025-10-01 00:00:00
17855,2025-10-14 00:00:00
17865,2025-11-01 00:00:00
17870,2025-10-01 00:00:00
17870,2025-10-14 00:00:00
17877,2025-11-01 00:00:00
17877,2026-01-01 00:00:00
17893,2025-11-01 00:00:00
17893,2026-01-01 00:00:00
17915,2025-11-01 00:00:00
17927,2025-11-01 00:00:00
17927,2026-01-01 00:00:00
17939,2026-01-01 00:00:00
18003,2026-01-01 00:00:00
18109,2025-08-01 00:00:00
18154,2025-08-01 00:00:00
18154,2025-08-01 00:00:00
18201,2025-10-01 00:00:00
18479,2025-11-01 00:00:00
18531,2025-11-01 00:00:00
18606,2025-12-01 00:00:00
18606,2026-02-01 00:00:00
18617,2025-12-01 00:00:00
18841,2025-08-01 00:00:00
18841,2025-08-01 00:00:00
18892,2026-01-01 00:00:00
18921,2025-04-01 00:00:00
18926,2025-12-01 00:00:00
18945,2025-12-01 00:00:00
18945,2025-12-01 00:00:00
19154,2026-01-01 00:00:00
19244,2025-08-01 00:00:00
19378,2026-01-21 00:00:00
19397,2026-01-01 00:00:00
19409,2026-01-01 00:00:00
19476,2025-08-01 00:00:00
19515,2026-01-01 00:00:00
19517,2026-02-01 00:00:00
19543,2025-10-01 00:00:00
19547,2025-07-01 00:00:00
19551,2025-04-01 00:00:00
19560,2025-12-01 00:00:00
19571,2025-07-01 00:00:00
19582,2025-05-01 00:00:00
19597,2025-10-01 00:00:00
19634,2025-12-01 00:00:00
19779,2026-01-01 00:00:00
19842,2026-01-01 00:00:00
20007,2026-01-01 00:00:00
20118,2025-12-01 00:00:00
20655,2025-11-01 00:00:00
20766,2025-04-01 00:00:00
20950,2025-04-01 00:00:00
21269,2026-01-01 00:00:00
21497,2025-11-01 00:00:00
21506,2025-06-01 00:00:00
21675,2025-08-01 00:00:00
21727,2025-04-01 00:00:00
21732,2025-12-01 00:00:00
21751,2025-10-01 00:00:00
21755,2025-12-01 00:00:00
21755,2026-02-01 00:00:00
21850,2026-01-01 00:00:00
21995,2025-11-01 00:00:00
21995,2026-01-01 00:00:00
22022,2025-11-01 00:00:00
22022,2026-01-01 00:00:00
22022,2026-01-01 00:00:00
22071,2025-11-01 00:00:00
22177,2025-10-01 00:00:00
22281,2025-10-01 00:00:00
22358,2025-12-01 00:00:00
22471,2025-08-01 00:00:00
22471,2025-08-01 00:00:00
22471,2025-12-01 00:00:00
22481,2025-06-01 00:00:00
22509,2025-04-01 00:00:00
22509,2025-07-01 00:00:00
22536,2025-10-01 00:00:00
22563,2025-12-01 00:00:00
22582,2025-04-01 00:00:00
22614,2025-12-01 00:00:00
22829,2025-10-01 00:00:00
22974,2026-01-01 00:00:00
23032,2026-01-01 00:00:00
23032,2026-01-01 00:00:00
23162,2026-01-01 00:00:00
23197,2025-06-01 00:00:00
23199,2026-01-01 00:00:00
23199,2026-01-15 00:00:00
23205,2025-09-01 00:00:00
23205,2025-09-26 00:00:00
23205,2025-10-01 00:00:00
23206,2025-11-01 00:00:00
23223,2025-09-01 00:00:00
23232,2025-07-01 00:00:00
23232,2025-07-10 00:00:00
23232,2025-11-01 00:00:00
23239,2025-05-01 00:00:00
23298,2025-07-01 00:00:00
23298,2025-12-01 00:00:00
23333,2025-12-01 00:00:00
23353,2026-01-01 00:00:00
23360,2025-11-01 00:00:00
23404,2025-11-01 00:00:00
23404,2025-12-01 00:00:00
23404,2026-01-01 00:00:00
23430,2025-12-01 00:00:00
23471,2025-11-01 00:00:00
23481,2025-11-01 00:00:00
23481,2026-01-01 00:00:00
23483,2025-11-01 00:00:00
23483,2025-12-01 00:00:00
23483,2026-01-01 00:00:00
23487,2025-11-01 00:00:00
23487,2025-12-01 00:00:00
23487,2026-01-01 00:00:00
23491,2025-10-01 00:00:00
23499,2026-01-01 00:00:00
23500,2026-01-01 00:00:00
23533,2025-11-01 00:00:00
23533,2026-01-01 00:00:00
23546,2025-10-01 00:00:00
23550,2025-11-01 00:00:00
23560,2025-11-01 00:00:00
23596,2025-10-01 00:00:00
23609,2025-11-01 00:00:00
23611,2025-11-01 00:00:00
23611,2026-01-01 00:00:00
23614,2025-11-01 00:00:00
23614,2026-01-01 00:00:00
23725,2026-01-01 00:00:00
23778,2025-05-01 00:00:00
23778,2025-11-01 00:00:00
23785,2025-11-01 00:00:00
23791,2025-05-01 00:00:00
23791,2025-05-01 00:00:00
23791,2025-11-01 00:00:00
23791,2025-12-01 00:00:00
23794,2025-05-01 00:00:00
23794,2025-11-01 00:00:00
23794,2025-12-01 00:00:00
23899,2025-09-01 00:00:00
23913,2025-08-01 00:00:00
23974,2026-02-01 00:00:00
24152,2025-11-01 00:00:00
24169,2025-11-01 00:00:00
24169,2026-01-01 00:00:00
24191,2025-10-01 00:00:00
24191,2025-10-14 00:00:00
24194,2025-10-01 00:00:00
24196,2025-10-01 00:00:00
24210,2025-11-01 00:00:00
24216,2025-10-01 00:00:00
24216,2025-10-14 00:00:00
24229,2026-01-01 00:00:00
24245,2025-12-01 00:00:00
24247,2025-11-01 00:00:00
24283,2026-01-01 00:00:00
24349,2025-10-01 00:00:00
24397,2025-11-01 00:00:00
24839,2026-02-01 00:00:00
24845,2026-01-01 00:00:00
24855,2026-01-01 00:00:00
24982,2025-11-01 00:00:00
24982,2025-11-01 00:00:00
25055,2025-11-01 00:00:00
25094,2025-06-01 00:00:00
25094,2025-06-17 00:00:00
25281,2025-11-01 00:00:00
25285,2025-11-01 00:00:00
25285,2026-01-01 00:00:00
25287,2025-11-01 00:00:00
25298,2026-01-01 00:00:00
25350,2026-01-01 00:00:00
25367,2026-01-01 00:00:00
25372,2025-06-01 00:00:00
25391,2025-11-01 00:00:00
25441,2026-01-01 00:00:00
25453,2026-01-01 00:00:00
25499,2026-01-01 00:00:00
25508,2025-06-01 00:00:00
25685,2025-05-01 00:00:00
25725,2026-01-01 00:00:00
25765,2026-01-01 00:00:00
25792,2026-01-01 00:00:00
25805,2025-12-01 00:00:00
25805,2025-12-23 00:00:00
25858,2026-01-01 00:00:00
25904,2025-11-01 00:00:00
25970,2025-12-01 00:00:00
25991,2026-01-01 00:00:00
26002,2025-11-01 00:00:00
26212,2025-11-01 00:00:00
26214,2025-11-01 00:00:00
26215,2025-11-01 00:00:00
26215,2026-01-01 00:00:00
26241,2025-11-01 00:00:00
26248,2025-11-01 00:00:00
26248,2026-01-01 00:00:00
26248,2026-01-01 00:00:00
26267,2025-11-01 00:00:00
26268,2025-12-01 00:00:00
26269,2025-12-01 00:00:00
26272,2025-08-01 00:00:00
26295,2025-08-01 00:00:00
26295,2025-08-13 00:00:00
26295,2026-01-01 00:00:00
26319,2025-08-01 00:00:00
26320,2025-08-01 00:00:00
26320,2025-08-01 00:00:00
26386,2025-11-01 00:00:00
26392,2025-11-01 00:00:00
26392,2026-01-01 00:00:00
26483,2025-09-01 00:00:00
26483,2025-09-08 00:00:00
26483,2026-01-01 00:00:00
26489,2025-08-01 00:00:00
26517,2026-01-01 00:00:00
26562,2025-09-01 00:00:00
26562,2025-10-01 00:00:00
26562,2026-01-01 00:00:00
26576,2026-01-01 00:00:00
26588,2025-08-01 00:00:00
26588,2025-08-13 00:00:00
26588,2026-01-01 00:00:00
26619,2025-11-01 00:00:00
26828,2026-01-01 00:00:00
26838,2025-11-01 00:00:00
26872,2025-12-01 00:00:00
26894,2025-08-01 00:00:00
26894,2025-09-01 00:00:00
26896,2025-08-01 00:00:00
26896,2025-09-01 00:00:00
26921,2025-11-01 00:00:00
26925,2025-12-01 00:00:00
26926,2026-01-01 00:00:00
26927,2026-01-01 00:00:00
26945,2025-11-01 00:00:00
26945,2025-11-01 00:00:00
26945,2026-01-01 00:00:00
26966,2026-01-01 00:00:00
26970,2025-11-01 00:00:00
27008,2026-01-01 00:00:00
27022,2026-01-01 00:00:00
27089,2025-08-01 00:00:00
27089,2025-08-13 00:00:00
27093,2026-01-01 00:00:00
27107,2026-01-01 00:00:00
27121,2025-08-01 00:00:00
27121,2025-09-01 00:00:00
27143,2026-01-01 00:00:00
27166,2025-07-01 00:00:00
27247,2025-08-01 00:00:00
27251,2025-12-01 00:00:00
27268,2026-01-01 00:00:00
27272,2025-08-01 00:00:00
27282,2026-01-01 00:00:00
27289,2025-06-01 00:00:00
27289,2025-06-17 00:00:00
27293,2026-01-01 00:00:00
27296,2026-01-01 00:00:00
27303,2025-09-01 00:00:00
27303,2025-09-18 00:00:00
27358,2025-09-01 00:00:00
27358,2025-09-18 00:00:00
27361,2025-05-01 00:00:00
27379,2025-09-01 00:00:00
27400,2025-11-01 00:00:00
27434,2025-11-01 00:00:00
27436,2025-11-01 00:00:00
27437,2025-11-01 00:00:00
27448,2025-11-01 00:00:00
27449,2025-11-01 00:00:00
27450,2025-11-01 00:00:00
27452,2025-11-01 00:00:00
27571,2026-01-01 00:00:00
27576,2025-11-01 00:00:00
27576,2026-01-01 00:00:00
27582,2026-01-01 00:00:00
27597,2025-12-01 00:00:00
27600,2025-09-01 00:00:00
27600,2026-01-01 00:00:00
27602,2025-09-01 00:00:00
27602,2026-01-01 00:00:00
27603,2025-09-01 00:00:00
27603,2026-01-01 00:00:00
27632,2025-09-01 00:00:00
27632,2025-10-01 00:00:00
27701,2026-01-01 00:00:00
27710,2025-09-01 00:00:00
27710,2025-10-01 00:00:00
27733,2025-11-01 00:00:00
27733,2026-01-01 00:00:00
27756,2025-09-01 00:00:00
27756,2026-01-01 00:00:00
27787,2025-06-01 00:00:00
27787,2025-06-17 00:00:00
27788,2025-11-01 00:00:00
27830,2026-01-01 00:00:00
27856,2026-01-01 00:00:00
27879,2026-01-01 00:00:00
27880,2026-01-01 00:00:00
27884,2025-12-01 00:00:00
27941,2025-12-01 00:00:00
27942,2025-09-01 00:00:00
27944,2025-12-01 00:00:00
27946,2025-09-01 00:00:00
27949,2025-09-01 00:00:00
27983,2025-05-01 00:00:00
28080,2025-08-01 00:00:00
28167,2025-08-01 00:00:00
28244,2026-01-01 00:00:00
28265,2025-08-01 00:00:00
28276,2025-08-01 00:00:00
28408,2026-01-01 00:00:00
28430,2026-01-01 00:00:00
28447,2026-01-01 00:00:00
28578,2026-01-01 00:00:00
28622,2025-12-01 00:00:00
28652,2026-01-01 00:00:00
28668,2026-01-01 00:00:00
28754,2026-01-01 00:00:00
28755,2026-01-01 00:00:00
28773,2025-11-01 00:00:00
28773,2025-11-13 00:00:00
28981,2025-08-01 00:00:00
29024,2025-12-01 00:00:00
29083,2026-01-01 00:00:00
29100,2025-09-10 00:00:00
29197,2025-08-01 00:00:00
29240,2026-02-01 00:00:00
29240,2026-02-01 00:00:00
29286,2025-04-01 00:00:00
29457,2026-01-01 00:00:00
29516,2025-04-01 00:00:00
29633,2025-11-01 00:00:00
29663,2026-01-01 00:00:00
29706,2026-01-01 00:00:00
29713,2026-01-01 00:00:00
29783,2026-01-01 00:00:00
29838,2026-01-01 00:00:00
30216,2025-11-01 00:00:00
30251,2025-08-01 00:00:00
30317,2025-12-01 00:00:00
30320,2025-12-01 00:00:00
30369,2025-04-01 00:00:00
30369,2026-01-01 00:00:00
30444,2025-11-01 00:00:00
30545,2026-01-01 00:00:00
30624,2026-01-01 00:00:00
30671,2026-01-01 00:00:00
30671,2026-01-01 00:00:00
30746,2025-12-01 00:00:00
30759,2026-01-01 00:00:00
30759,2026-01-01 00:00:00
30762,2026-01-01 00:00:00
30844,2025-10-01 00:00:00
30873,2025-08-01 00:00:00
30873,2026-01-01 00:00:00
30877,2026-01-01 00:00:00
30931,2025-11-01 00:00:00
30934,2025-11-01 00:00:00
30935,2025-11-01 00:00:00
30957,2025-12-01 00:00:00
31014,2025-12-01 00:00:00
31162,2025-11-01 00:00:00
31164,2025-11-01 00:00:00
31164,2025-11-01 00:00:00
31176,2026-01-01 00:00:00
31180,2025-04-01 00:00:00
31193,2025-11-01 00:00:00
31194,2025-11-01 00:00:00
31273,2025-11-01 00:00:00
31279,2025-11-01 00:00:00
31279,2026-01-01 00:00:00
31292,2025-11-01 00:00:00
31300,2025-11-01 00:00:00
31301,2025-11-01 00:00:00
31301,2026-01-01 00:00:00
31301,2026-01-01 00:00:00
31335,2026-01-01 00:00:00
31488,2025-11-01 00:00:00
31847,2025-11-01 00:00:00
31850,2025-11-01 00:00:00
31851,2025-11-01 00:00:00
31851,2026-01-01 00:00:00
31851,2026-01-01 00:00:00
31872,2025-11-01 00:00:00
31919,2025-11-01 00:00:00
32003,2025-04-01 00:00:00
32098,2025-11-01 00:00:00
32103,2025-11-01 00:00:00
32133,2025-12-01 00:00:00
32146,2025-12-01 00:00:00
32150,2025-12-01 00:00:00
32159,2026-01-01 00:00:00
32179,2026-02-01 00:00:00
32218,2026-01-01 00:00:00
32237,2025-05-01 00:00:00
32333,2025-11-01 00:00:00
32674,2025-12-01 00:00:00
33520,2026-01-01 00:00:00
33636,2025-11-01 00:00:00
33698,2025-05-01 00:00:00
33705,2025-05-01 00:00:00
33706,2025-05-01 00:00:00
33706,2025-11-01 00:00:00
33708,2025-05-01 00:00:00
33708,2025-11-01 00:00:00
33709,2025-05-01 00:00:00
33709,2025-11-01 00:00:00
33711,2025-05-01 00:00:00
33711,2025-11-01 00:00:00
33712,2025-05-01 00:00:00
33713,2025-05-01 00:00:00
33713,2025-11-01 00:00:00
33714,2025-05-01 00:00:00
33716,2025-05-01 00:00:00
33717,2025-05-01 00:00:00
33718,2025-05-01 00:00:00
33723,2025-05-01 00:00:00
33726,2025-05-01 00:00:00
33727,2025-05-01 00:00:00
33733,2025-05-01 00:00:00
33735,2025-05-01 00:00:00
33738,2025-05-01 00:00:00
33740,2025-05-01 00:00:00
33741,2025-05-01 00:00:00
33742,2025-05-01 00:00:00
33743,2025-05-01 00:00:00
33744,2025-05-01 00:00:00
33745,2025-05-01 00:00:00
33745,2025-11-01 00:00:00
33746,2025-05-01 00:00:00
33747,2025-05-01 00:00:00
33748,2025-05-01 00:00:00
33751,2025-05-01 00:00:00
33754,2025-05-01 00:00:00
33755,2025-05-01 00:00:00
33761,2025-05-01 00:00:00
33766,2025-05-01 00:00:00
33768,2025-05-01 00:00:00
33769,2025-05-01 00:00:00
33770,2025-05-01 00:00:00
33781,2025-05-01 00:00:00
33781,2025-11-01 00:00:00
33788,2025-05-01 00:00:00
33791,2025-05-01 00:00:00
33797,2025-05-01 00:00:00
33819,2025-05-01 00:00:00
33820,2025-05-01 00:00:00
33821,2025-05-01 00:00:00
33822,2025-05-01 00:00:00
33823,2025-05-01 00:00:00
33825,2025-05-01 00:00:00
33828,2025-05-01 00:00:00
33828,2025-11-01 00:00:00
33829,2025-05-01 00:00:00
33830,2025-05-01 00:00:00
33852,2025-05-01 00:00:00
33855,2025-05-01 00:00:00
