ЛС,action,expected_return,debt_current_x,cluster,debt_current_y,months_debt
19546,email,4022.1453668627687,12662.05,2,12662.05,14
3078,email,3968.5958687779066,21478.11,2,21478.11,2
95044,email,3943.2543279337597,7627.94,2,7627.94,12
59323,email,3937.095305924,16297.4,4,16297.4,14
87827,email,3919.2257466915844,5785.33,6,5785.33,6
42563,email,3918.682212505937,16176.28,5,16176.28,13
74001,email,3903.838385117193,18706.39,2,18706.39,3
117823,email,3895.9381812885767,6038.96,2,6038.96,14
90376,email,3885.125200815179,5172.78,6,5172.78,3
141385,email,3870.2592449501954,8102.45,4,8102.45,14
33858,email,3868.862437624984,6662.98,0,6662.98,14
56879,email,3826.48293293957,5570.14,2,5570.14,8
94833,email,3815.8275932694505,11951.05,2,11951.05,2
10387,email,3795.9990395552336,26213.63,5,26213.63,1
135023,email,3769.6761928350174,20664.16,4,20664.16,14
96538,email,3736.4720173226524,25573.58,2,25573.58,4
123458,email,3734.8531793834254,16502.59,2,16502.59,14
1072,email,3732.852845428583,11137.62,2,11137.62,4
15049,email,3718.7794752291966,22269.48,2,22269.48,7
1441,email,3701.35285411772,6897.36,2,6897.36,2
74353,email,3666.5641958863,6325.1,2,6325.1,2
52403,email,3648.239799530701,10214.23,2,10214.23,4
135895,email,3646.263546344151,4507.5,2,4507.5,8
13942,email,3640.8339173822915,12372.58,2,12372.58,14
59115,email,3628.993540466852,4326.76,6,4326.76,2
42617,email,3603.447262971213,4737.8,2,4737.8,14
48959,email,3602.0516209680536,4839.81,2,4839.81,14
19627,email,3595.5696812269166,35682.24,2,35682.24,10
24772,email,3578.8206347149007,13974.54,2,13974.54,14
3327,email,3557.373582822251,11362.02,5,11362.02,6
129438,email,3556.644667849405,8963.31,4,8963.31,14
137027,email,3533.387642986053,10852.19,2,10852.19,14
104832,email,3510.6541028432994,4771.09,2,4771.09,3
93786,email,3508.4515492662995,5228.24,2,5228.24,14
46987,email,3497.796847168433,6227.99,6,6227.99,4
11837,email,3491.3466123785047,27889.56,2,27889.56,1
142318,email,3478.8755061307374,6607.76,2,6607.76,14
45599,email,3457.8957283822547,8977.49,2,8977.49,9
1290,email,3448.8299884817466,5905.08,2,5905.08,14
6862,email,3412.194000542263,13495.62,2,13495.62,13
137330,email,3407.08511070426,3834.9,2,3834.9,14
69707,email,3404.3226729796934,6218.78,2,6218.78,14
45646,email,3385.8416876494084,11354.17,2,11354.17,5
4739,email,3354.0267850067694,18993.39,2,18993.39,14
103306,email,3352.850716851173,14953.01,2,14953.01,5
42887,email,3323.484136674156,6687.76,2,6687.76,14
47431,email,3318.6798869089403,8310.4,2,8310.4,14
25017,email,3315.1175621668244,5406.19,2,5406.19,14
10450,email,3302.1953198000206,3868.56,5,3868.56,5
61768,email,3272.851451949092,5878.99,2,5878.99,14
10377,email,3269.1559041427136,7269.6,5,7269.6,2
1676,email,3263.783910020764,53373.78,4,53373.78,14
29083,email,3258.552714930454,4788.69,2,4788.69,14
20239,email,3205.3782574836364,4694.28,2,4694.28,7
38859,email,3186.610886513088,29955.29,2,29955.29,2
136282,email,3166.6137419993493,3372.39,2,3372.39,4
27916,email,3155.341018459689,6101.58,2,6101.58,4
78842,email,3146.2633485280503,5467.28,2,5467.28,14
45149,email,3145.356412656909,5706.25,2,5706.25,14
44414,email,3116.6375227395565,5029.14,2,5029.14,6
18606,email,3110.883997944746,63045.12,2,63045.12,4
69993,email,3107.841455760352,8734.48,6,8734.48,4
97953,email,3086.584301219779,2896.0,6,2896.0,6
6998,email,3074.367919645161,4907.76,2,4907.76,12
3943,email,3072.6190066302456,10558.66,2,10558.66,14
2190,email,3069.4957543349697,20859.99,2,20859.99,5
10515,email,3063.3642808561767,12325.27,2,12325.27,8
56129,email,3045.972611041234,3111.68,6,3111.68,4
14356,email,3030.8130323147207,20051.34,2,20051.34,6
67510,email,3001.7661473738376,5128.68,6,5128.68,1
20110,email,2994.20405816613,11411.88,5,11411.88,4
19582,email,2988.081159100348,6185.82,2,6185.82,11
24688,email,2982.039070816224,4970.69,5,4970.69,14
125951,email,2907.5637191927126,13856.35,4,13856.35,14
38561,email,2903.1027938692027,4241.1,5,4241.1,3
36076,email,2900.4416440867394,4670.67,2,4670.67,5
74295,email,2894.873196732116,4275.93,2,4275.93,6
16041,email,2890.460998195243,2208.44,5,2208.44,7
37027,email,2883.884322677537,4906.31,2,4906.31,5
101221,email,2880.5209239287706,4965.87,2,4965.87,14
18951,email,2855.1102760817744,6682.7,2,6682.7,14
84952,email,2854.0860545201435,4155.61,2,4155.61,4
15853,email,2850.8621672965164,11872.08,2,11872.08,13
39789,email,2849.0822477387296,3458.26,5,3458.26,4
72308,email,2847.7172527189978,4330.32,2,4330.32,10
4354,email,2837.7781999651825,12624.44,2,12624.44,5
56891,email,2827.101526893934,26021.79,2,26021.79,13
21212,email,2816.478195690927,8881.56,2,8881.56,5
1081,email,2808.8075069941265,5065.92,5,5065.92,1
7008,email,2807.9925747197376,4198.2,5,4198.2,4
76997,email,2801.3351857336356,4856.71,2,4856.71,13
77760,email,2795.41276316779,3881.67,2,3881.67,14
116684,email,2795.348832684386,7920.6,2,7920.6,14
56414,email,2793.877117890369,24764.66,2,24764.66,14
88973,email,2791.4096298533705,3561.34,2,3561.34,10
16901,email,2791.162046807037,2232.24,5,2232.24,2
34238,email,2788.647541040143,18544.61,2,18544.61,13
94198,email,2782.230813038164,5160.17,6,5160.17,2
104870,email,2765.483861751482,4507.38,2,4507.38,10
134138,email,2745.8433339486705,3757.36,2,3757.36,2
136441,email,2739.1788021447633,5440.36,2,5440.36,14
839,email,2722.05092486847,8132.33,5,8132.33,5
101716,email,2717.3373154137703,6742.1,2,6742.1,2
144213,email,2709.8077774278795,99079.36,2,99079.36,7
2454,email,2706.7621497897544,3575.96,2,3575.96,2
78552,email,2696.837623773925,6729.6,2,6729.6,6
7475,email,2682.397077120914,3151.86,2,3151.86,4
12179,email,2673.402048963051,2891.36,2,2891.36,14
6954,email,2669.0364943466357,7710.66,2,7710.66,14
142174,email,2659.087447998025,5027.68,2,5027.68,8
129435,email,2655.2707033246493,1889.03,6,1889.03,5
58046,email,2652.637153142617,8072.79,2,8072.79,14
37585,email,2646.7539417763655,3237.45,2,3237.45,4
7042,email,2645.4919655326926,6425.74,2,6425.74,14
31266,email,2643.61879126897,4113.12,2,4113.12,14
38674,email,2639.57194510772,13780.22,2,13780.22,8
123283,email,2634.01882691406,7139.21,2,7139.21,14
37641,email,2624.3496571761893,2811.07,2,2811.07,4
68490,email,2615.4654562819615,3221.82,6,3221.82,4
29209,email,2610.6275050170193,4922.82,5,4922.82,2
76120,email,2607.964208347379,3294.96,2,3294.96,14
99185,email,2604.4880717224205,3961.05,5,3961.05,11
101189,email,2577.416167920981,3881.81,2,3881.81,10
7886,email,2577.1994510056343,8560.32,2,8560.32,14
11868,email,2572.7156570090365,45843.96,2,45843.96,7
19543,email,2563.1141568263693,72610.01,2,72610.01,14
21547,email,2554.373876914484,4666.5,5,4666.5,14
2871,email,2552.5077688128513,2644.2,5,2644.2,7
127470,email,2551.775595362291,4666.24,2,4666.24,7
139887,email,2545.2260613287667,3154.26,2,3154.26,10
2725,email,2537.6003873214504,19888.8,2,19888.8,13
71938,email,2527.5273323671067,5468.31,6,5468.31,1
20283,email,2523.1773738474576,1963.63,5,1963.63,6
11153,email,2521.5245301854966,4114.44,2,4114.44,10
76515,email,2518.3852395338595,14121.66,4,14121.66,14
22167,email,2510.557075875963,8202.96,2,8202.96,9
12346,email,2507.1734805605397,6045.42,2,6045.42,2
32217,email,2504.4257031534507,11880.0,2,11880.0,4
146896,email,2499.1181095186994,1993.72,6,1993.72,4
12412,email,2495.8615429324977,8194.72,2,8194.72,2
87246,email,2495.76102004456,3578.85,2,3578.85,14
6838,email,2487.0411678944142,1536.72,5,1536.72,3
85044,email,2483.7718986758014,5383.07,6,5383.07,11
30999,email,2473.5615902650757,2407.02,5,2407.02,4
12032,email,2460.6670299069474,8785.92,2,8785.92,14
9593,email,2459.578380926954,11265.26,2,11265.26,2
48389,email,2458.432244813211,4803.19,2,4803.19,14
42881,email,2457.5161417434138,7794.39,2,7794.39,14
116275,email,2437.1367811285236,4664.38,6,4664.38,14
26010,email,2424.5995792103736,3525.9,2,3525.9,6
17301,email,2418.827942272628,9177.97,5,9177.97,14
11477,email,2381.9184361604475,3700.77,5,3700.77,1
56698,email,2371.4619712973786,3292.64,4,3292.64,5
43332,email,2369.0507823291487,8319.38,2,8319.38,14
10416,email,2368.572952965703,11084.04,5,11084.04,1
9539,email,2368.005555645265,2429.04,5,2429.04,14
8410,email,2366.008853608657,8249.4,2,8249.4,14
74236,email,2358.8056732027785,9726.65,2,9726.65,14
35768,email,2358.021208480372,5077.28,2,5077.28,4
127290,email,2352.4434441463836,3935.94,2,3935.94,14
58825,email,2350.270786811683,24794.25,2,24794.25,14
70880,email,2340.781339518393,4203.51,2,4203.51,14
29213,email,2333.8093749808927,9880.2,2,9880.2,1
25990,email,2324.9541478417104,6181.72,2,6181.72,6
102978,email,2317.9663738710738,3984.47,2,3984.47,10
44665,email,2317.77347646194,4604.64,2,4604.64,14
64878,email,2313.962205687488,4975.5,2,4975.5,7
30639,email,2313.484819361057,4946.64,2,4946.64,14
58342,email,2306.8997482497584,3952.96,2,3952.96,5
91012,email,2299.7510407707377,2917.08,2,2917.08,5
25718,email,2299.192430536553,3150.12,5,3150.12,11
54857,email,2298.2315730219843,933.9,6,933.9,6
113649,email,2289.3363375360263,2683.04,2,2683.04,14
43173,email,2284.036840507929,2404.95,2,2404.95,14
15970,email,2281.456588786528,14137.2,5,14137.2,2
32231,email,2281.153001331324,9634.26,2,9634.26,14
36295,email,2279.6250294802508,4169.39,2,4169.39,5
76998,email,2275.5299674911953,4155.44,2,4155.44,14
39310,email,2266.890015787449,5008.64,5,5008.64,1
20762,email,2266.5677029255685,12220.84,2,12220.84,12
38107,email,2262.5044608946055,5641.7,2,5641.7,14
34342,email,2249.3561618964586,18776.91,2,18776.91,11
85001,email,2248.30884004459,4160.13,6,4160.13,11
140779,email,2241.7825709050985,3696.0,2,3696.0,14
134843,email,2240.0309251270046,4307.09,2,4307.09,10
7624,email,2239.4194377619187,15281.64,2,15281.64,14
50444,email,2230.3862144825325,1684.63,6,1684.63,5
11990,email,2229.474830388766,19694.4,2,19694.4,14
28854,email,2221.150382647182,8683.74,6,8683.74,1
10518,email,2218.609631133757,7774.68,2,7774.68,14
76817,email,2212.5923316341236,5370.65,5,5370.65,2
60333,email,2207.169876035297,10069.15,2,10069.15,6
34844,email,2206.5869685151547,2700.79,6,2700.79,13
77986,email,2202.153689592807,2202.44,6,2202.44,2
70437,email,2202.098773719449,2980.01,6,2980.01,14
3658,email,2193.3053936573697,7234.92,5,7234.92,1
4683,email,2182.0984038856636,9450.06,2,9450.06,14
145399,email,2181.980190677594,3867.19,2,3867.19,14
50745,email,2179.7163186528905,10104.37,6,10104.37,14
103167,email,2177.8868541745705,3908.0,2,3908.0,14
110773,email,2165.60048952247,5116.08,4,5116.08,14
47626,email,2164.752156760551,3756.77,2,3756.77,14
30733,email,2161.9010646854167,30034.24,2,30034.24,14
56991,email,2155.6370742654403,4724.58,2,4724.58,14
15872,email,2146.8939755464535,5094.66,5,5094.66,6
93208,email,2144.020502132347,2599.78,6,2599.78,8
60174,email,2141.91507877949,3857.35,2,3857.35,14
113668,email,2141.1571838839236,6777.33,6,6777.33,14
42736,email,2128.974836645677,3781.08,5,3781.08,8
70136,email,2127.742588493244,4759.56,2,4759.56,14
28045,email,2124.2768394950704,9314.16,2,9314.16,4
887,email,2121.939685131305,4970.12,5,4970.12,3
72312,email,2121.520865719146,10740.66,2,10740.66,14
145307,email,2116.009529117492,21164.71,2,21164.71,3
1148,email,2113.14990694961,7128.09,5,7128.09,2
144683,email,2110.0585733760076,2533.04,2,2533.04,14
37827,email,2108.7461473712287,5338.26,2,5338.26,14
45600,email,2104.9852201712874,3059.33,2,3059.33,13
38820,email,2103.2164035887017,3107.84,6,3107.84,1
9554,email,2099.8444613624815,9226.8,5,9226.8,14
64595,email,2091.8572737655963,5403.34,6,5403.34,14
30256,email,2090.8834698778996,3914.28,2,3914.28,14
57129,email,2087.9495956531778,14528.38,2,14528.38,13
1244,email,2087.321341124745,3416.94,2,3416.94,13
122087,email,2079.0490863063264,3350.34,2,3350.34,3
19560,email,2066.754098423752,11616.24,2,11616.24,12
1538,email,2060.357109030446,4070.67,2,4070.67,3
11488,email,2058.562648716776,7681.98,5,7681.98,3
10620,email,2054.8842037327645,26916.12,2,26916.12,14
11553,email,2054.6441064911273,2865.98,2,2865.98,5
2182,email,2053.276432115227,3288.06,5,3288.06,6
77476,email,2051.2760009568137,4440.11,2,4440.11,14
37011,email,2037.8045713407846,3741.78,2,3741.78,12
41218,email,2034.2722440723176,6489.8,2,6489.8,14
33918,email,2031.5374286655858,3956.08,2,3956.08,14
38661,email,2030.5906440763536,11942.07,2,11942.07,9
45478,email,2023.3615289548638,5848.55,2,5848.55,9
73618,email,2009.8493563952488,20935.26,2,20935.26,5
21483,email,2006.6036960184058,2349.0,2,2349.0,12
135300,email,1996.9906441504095,3632.2,2,3632.2,14
11855,email,1993.8149774859992,3200.34,5,3200.34,12
5307,email,1989.1933009880213,16292.55,2,16292.55,14
13648,email,1985.5684499803656,3916.44,5,3916.44,4
39519,email,1984.4250481802237,4525.74,2,4525.74,14
136586,email,1981.432554948446,3141.44,2,3141.44,14
63055,email,1976.2538545699624,1715.58,6,1715.58,13
24812,email,1967.1797035575516,13729.32,2,13729.32,4
933,email,1965.5237883526354,32759.34,2,32759.34,7
22398,email,1961.8194829839415,7502.81,2,7502.81,6
47060,email,1956.8775003038972,2882.16,5,2882.16,2
10137,email,1953.6781193057034,4557.2,2,4557.2,14
4945,email,1950.6460257332863,5130.9,2,5130.9,14
93033,email,1945.962896064614,5057.74,0,5057.74,14
11780,email,1943.1954856053044,3763.42,2,3763.42,2
72793,email,1940.4718803178614,5310.84,2,5310.84,14
139629,email,1937.0029037665372,2747.67,6,2747.67,3
80974,email,1936.1309765054853,3942.86,2,3942.86,14
104762,email,1934.833013307128,6601.15,2,6601.15,1
144246,email,1932.356001288488,4168.19,2,4168.19,14
76835,email,1926.3608780197228,8837.64,2,8837.64,2
119405,email,1921.930049326621,3759.41,2,3759.41,14
10957,email,1919.7784718682124,5009.4,5,5009.4,2
14893,email,1905.9481680450997,1580.12,5,1580.12,14
28321,email,1904.8335177939289,4021.04,2,4021.04,14
361,email,1902.7776755867374,2150.1,5,2150.1,6
23981,email,1901.641679142843,3507.36,2,3507.36,12
597,email,1900.658018520664,3632.55,5,3632.55,4
39154,email,1900.3576588211097,3668.26,2,3668.26,14
73967,email,1891.799814289391,3029.57,2,3029.57,14
29972,email,1886.3506840086463,5399.38,2,5399.38,6
2176,email,1881.3394853659452,17736.06,2,17736.06,4
47799,email,1875.717093617929,23460.22,2,23460.22,6
128890,email,1875.6161047940955,3057.32,2,3057.32,4
110151,email,1874.6347027476131,3684.11,6,3684.11,1
10572,email,1865.8838216650013,16036.83,2,16036.83,14
8006,email,1857.361126200926,5323.86,2,5323.86,11
8847,email,1847.2739618851615,3365.7,5,3365.7,4
10478,email,1839.7778440314328,5504.4,2,5504.4,5
1074,email,1837.9111114213388,4170.18,2,4170.18,14
13961,email,1836.6194603761992,2823.96,5,2823.96,6
16827,email,1833.3125733923418,4082.97,2,4082.97,14
100936,email,1833.1032908902782,2382.44,2,2382.44,10
598,email,1828.2623770386906,4756.33,2,4756.33,2
16539,email,1827.9242639547845,3960.0,5,3960.0,1
102649,email,1823.1718589370212,5203.67,2,5203.67,4
57354,email,1818.454670568444,5836.75,2,5836.75,14
14325,email,1817.3764043748631,4769.7,5,4769.7,14
65240,email,1816.9022296016756,2262.89,6,2262.89,9
138609,email,1812.2766181550664,3206.99,6,3206.99,12
42712,email,1809.1217609342848,3855.39,5,3855.39,14
53446,email,1805.1431296171456,2119.05,6,2119.05,3
90219,email,1804.4469295184945,1863.32,6,1863.32,5
130569,email,1804.1045961623236,5279.94,2,5279.94,14
137168,email,1803.5347874443391,3043.33,2,3043.33,4
33213,email,1799.7673992665977,23301.05,2,23301.05,11
20955,email,1799.50632015365,3244.69,5,3244.69,1
19558,email,1795.461548777901,7901.38,2,7901.38,14
48535,email,1792.7995136761476,4613.63,2,4613.63,14
118409,email,1785.896685103567,3920.4,6,3920.4,4
76199,email,1782.4469147004154,4051.08,2,4051.08,7
131508,email,1781.5829878434067,4501.07,4,4501.07,14
38917,email,1780.7888388660006,4084.93,2,4084.93,5
26040,email,1776.9184212227103,4453.32,2,4453.32,7
15545,email,1771.5012282846772,7425.14,5,7425.14,2
15286,email,1761.521109411647,2830.38,5,2830.38,11
12489,email,1760.513478055991,2336.16,5,2336.16,3
107360,email,1756.785068242764,2184.0,6,2184.0,14
78699,email,1755.088137425127,2656.43,6,2656.43,6
40776,email,1754.9446369227078,4761.52,2,4761.52,14
63870,email,1753.5717071636304,2308.17,6,2308.17,9
33678,email,1753.1860999618696,21165.64,2,21165.64,14
68996,email,1752.8301004585944,2945.06,2,2945.06,5
4737,email,1743.660776675963,4272.84,5,4272.84,12
112776,email,1742.7455021082926,2492.15,6,2492.15,14
36935,email,1739.684816430559,4799.41,2,4799.41,14
42391,email,1735.6531612338588,2522.28,2,2522.28,14
52468,email,1733.2244115783433,2946.64,6,2946.64,4
123804,email,1732.4324662478916,3085.09,6,3085.09,14
5219,email,1730.3087799708676,25378.78,2,25378.78,4
36395,email,1726.984848896571,24223.69,2,24223.69,2
40633,email,1726.198088479244,5028.08,2,5028.08,14
85677,email,1725.5914312866194,1360.8,6,1360.8,3
73906,email,1721.4947788659547,3649.17,6,3649.17,14
94053,email,1719.5754633798788,4090.84,4,4090.84,2
54182,email,1716.9990456610935,2529.44,6,2529.44,14
90480,email,1716.5800480192659,3092.82,2,3092.82,13
95949,email,1713.2009191185252,3052.85,6,3052.85,14
2086,email,1707.5112878197206,10961.28,2,10961.28,2
21026,email,1706.8228942207977,3095.73,5,3095.73,3
85539,email,1705.9830147559778,1811.97,6,1811.97,4
103603,email,1702.3676219272386,2964.76,6,2964.76,3
40303,email,1700.9129220706277,3872.17,6,3872.17,1
123903,email,1699.1467145363342,5787.06,2,5787.06,6
35365,email,1698.3805443024653,2513.82,6,2513.82,3
71991,email,1693.8459291853312,2425.4,2,2425.4,5
4613,email,1693.460794936272,17984.7,2,17984.7,4
640,email,1692.993410218716,15592.99,2,15592.99,13
101913,email,1690.6205406437361,1873.24,6,1873.24,4
1405,email,1689.3576592926238,1305.74,5,1305.74,12
88251,email,1683.4153718219416,1185.49,6,1185.49,4
94715,email,1683.1071670379774,5807.84,2,5807.84,14
130858,email,1676.5564493230654,2233.32,6,2233.32,4
76982,email,1674.4536985270504,6866.47,2,6866.47,14
97282,email,1670.91976553511,8627.95,2,8627.95,14
73762,email,1668.4230266369095,2891.05,6,2891.05,4
36270,email,1667.2105174978979,6053.96,2,6053.96,14
94678,email,1667.1879342924108,3304.72,2,3304.72,14
9659,email,1665.7858650515686,9286.2,5,9286.2,6
44578,email,1662.6377751666437,4280.6,2,4280.6,14
35093,email,1661.147062827043,3570.39,2,3570.39,14
1914,email,1659.6650021272117,7419.54,2,7419.54,3
70169,email,1653.0301270932348,3708.25,2,3708.25,14
7490,email,1650.2343582077538,3652.45,5,3652.45,14
48170,email,1648.9564930879594,2931.88,5,2931.88,13
10531,email,1645.1845520327236,5670.0,2,5670.0,2
47576,email,1644.9051428796747,3470.99,2,3470.99,13
145624,email,1637.386830822752,3399.29,6,3399.29,14
49062,email,1637.046510443122,5682.64,5,5682.64,4
83590,email,1625.1163900726815,3525.68,2,3525.68,12
98891,email,1615.113216821697,4234.3,2,4234.3,10
130965,email,1613.864829980233,2207.77,6,2207.77,2
15806,email,1610.5481603073047,15237.98,2,15237.98,14
19597,email,1610.0713231211046,10032.46,2,10032.46,1
10866,email,1609.868021580833,2893.62,2,2893.62,14
96188,email,1606.8211376264128,3372.24,2,3372.24,14
11556,email,1604.0578074186337,10692.0,5,10692.0,2
11632,email,1602.6231428151796,3478.42,4,3478.42,10
121005,email,1602.2811901695354,2937.05,2,2937.05,14
22399,email,1598.1904381561906,9111.36,2,9111.36,2
25858,email,1593.08927840811,2555.28,6,2555.28,14
136466,email,1591.064019999142,3547.07,2,3547.07,14
145535,email,1583.1097416792502,4181.14,2,4181.14,4
75935,email,1581.8576885402672,2198.56,2,2198.56,7
22503,email,1580.644932284441,22468.68,2,22468.68,8
21568,email,1579.9195424901943,5589.05,5,5589.05,13
27126,email,1579.5860426547288,16549.58,2,16549.58,7
50643,email,1579.056940988327,7279.25,2,7279.25,14
70495,email,1577.910895302224,2526.75,2,2526.75,4
88590,email,1577.5275861947214,3036.84,6,3036.84,4
12805,email,1572.1380796059175,2696.76,5,2696.76,7
36908,email,1568.1556983871258,1838.18,6,1838.18,3
17176,email,1565.6132236792141,1578.6,5,1578.6,3
34604,email,1564.8135614221726,2547.0,6,2547.0,1
41442,email,1563.123840226036,2444.98,2,2444.98,14
36315,email,1559.828231716607,21679.02,2,21679.02,10
38924,email,1558.4907913683894,2559.35,6,2559.35,11
26638,email,1557.2508240090297,3945.3,2,3945.3,14
35399,email,1556.9254852607771,2982.94,6,2982.94,14
12427,email,1550.5131706207649,8163.18,2,8163.18,14
46047,email,1546.704046932777,3457.03,6,3457.03,11
69694,email,1546.3650709326873,3097.04,6,3097.04,4
22502,email,1544.2870349052941,5038.44,5,5038.44,8
62485,email,1540.2265840047544,2735.44,2,2735.44,14
52811,email,1536.979796267628,2728.26,6,2728.26,12
3590,email,1536.418931668181,9151.56,5,9151.56,3
75325,email,1533.1547649974839,674.34,6,674.34,2
58047,email,1532.830975098807,7010.78,2,7010.78,14
77958,email,1529.1723431545913,2409.86,6,2409.86,3
59775,email,1527.8307847735189,3151.35,2,3151.35,8
137184,email,1524.263703891003,15009.12,2,15009.12,14
44398,email,1523.019494017559,2921.56,2,2921.56,14
72464,email,1522.3219462171296,1709.67,6,1709.67,6
131736,email,1518.5499008353072,2862.72,6,2862.72,14
34905,email,1515.6139449686862,2813.7,6,2813.7,5
108253,email,1515.1597046416437,2878.16,6,2878.16,10
51457,email,1513.8873683195866,2933.61,6,2933.61,4
136584,email,1511.407598172042,4164.62,2,4164.62,14
8672,email,1511.282646098971,7120.37,2,7120.37,14
16096,email,1509.510009289771,4084.74,5,4084.74,4
13707,email,1508.772691104053,21699.36,5,21699.36,2
23062,email,1508.3151389141494,4333.32,5,4333.32,14
100880,email,1507.430626811564,4991.97,6,4991.97,10
12498,email,1506.8665856249092,2823.72,5,2823.72,4
30141,email,1505.1933906184452,3299.28,2,3299.28,6
116877,email,1502.078965986578,3772.85,6,3772.85,7
85206,email,1500.2725085885736,2071.52,6,2071.52,4
57417,email,1497.9724922690964,3753.78,2,3753.78,13
35107,email,1497.8281810243075,1609.73,6,1609.73,14
6988,email,1496.9907274190834,3421.44,2,3421.44,2
131266,email,1496.5795041989818,1357.03,6,1357.03,3
55084,email,1495.3105539205615,1994.8,6,1994.8,3
42272,email,1483.2990352922598,9291.23,2,9291.23,2
10573,email,1482.9434178814433,12973.81,2,12973.81,6
5910,email,1481.6341954693896,22981.41,2,22981.41,14
114012,email,1481.384724781079,2854.65,6,2854.65,7
112138,email,1481.1067523842435,2537.98,2,2537.98,14
44345,email,1479.3498003021377,3559.39,6,3559.39,14
67033,email,1477.8179848495345,27487.18,2,27487.18,7
100815,email,1475.0511352106919,2686.56,2,2686.56,10
68571,email,1473.5177554509373,2636.35,2,2636.35,14
77814,email,1473.2588838629724,2541.56,6,2541.56,14
33471,email,1469.024611127878,14628.96,2,14628.96,14
60044,email,1466.7537588602097,3072.23,2,3072.23,2
37107,email,1465.6287557962248,5403.03,2,5403.03,14
38046,email,1463.9877364228225,2826.63,5,2826.63,6
134871,email,1462.5659558371428,2309.47,6,2309.47,3
49922,email,1462.0508961040216,2619.81,6,2619.81,4
9387,email,1461.4439766013938,2801.34,2,2801.34,5
137255,email,1460.4868879549174,6331.29,2,6331.29,10
2419,email,1460.3128247390216,6507.6,5,6507.6,4
69909,email,1458.3433918163419,2268.8,6,2268.8,14
8742,email,1457.8563080347053,1569.47,5,1569.47,14
90542,email,1457.8431074557059,2414.47,6,2414.47,7
72587,email,1452.950284676876,3050.74,5,3050.74,4
72102,email,1449.918950533981,2471.25,2,2471.25,5
17112,email,1447.7390134814543,9848.52,2,9848.52,5
4347,email,1440.943466074544,10747.44,5,10747.44,4
35370,email,1440.7093429518864,3505.91,5,3505.91,14
117947,email,1440.4006622173333,2836.32,6,2836.32,5
133309,email,1438.7826243211457,3302.25,2,3302.25,14
36364,email,1438.7401983438444,2137.64,2,2137.64,3
139984,email,1437.707777055179,1811.97,6,1811.97,14
7018,email,1435.0149469366997,14710.08,2,14710.08,14
20193,email,1428.098174215653,2130.36,5,2130.36,6
27430,email,1427.6741569348917,11252.9,2,11252.9,9
1877,email,1427.147439525105,8447.76,2,8447.76,14
10812,email,1425.5929502665251,1184.0,5,1184.0,5
4851,email,1424.9158216656103,2547.87,4,2547.87,14
85578,email,1424.5989234446372,2326.48,2,2326.48,4
